GENESIS-Tabelle: 31231-0003;;;;;;;;;;;;;;;;
31.12.2006;Nordrhein-Westfalen;2095108;2095108;254408;738900;1477800;128701;777480;4749567;321152;-;-;-;3611488;8322475;704261
31.12.2006;Rheinland-Pfalz;762209;762209;94681;227029;454058;41949;117263;661747;47796;-;-;-;1106501;1878014;184427
31.12.2006;Saarland;186012;186012;23234;81804;163608;14695;28694;151681;10822;-;-;-;296510;501301;48750
31.12.2006;Sachsen;410002;410002;41481;158213;316426;23065;211110;1563606;94491;-;-;-;779325;2290034;159037
31.12.2006;Sachsen-Anhalt;372721;372721;38501;87729;175458;13459;103368;731409;43461;-;-;-;563818;1279588;95421
31.12.2006;Schleswig-Holstein;551137;551137;62314;94090;188180;16361;85739;608931;38713;-;-;-;730966;1348248;117388
31.12.2006;Thüringen;311601;311601;33311;114230;228460;17568;87879;603117;36676;-;-;-;513710;1143178;87556
31.12.2006;Insgesamt;11140552;11140552;1340319;3549843;7099686;630595;3052018;20731024;1382203;-;-;-;17742413;38971262;3353117
31.12.2007;Baden-Württemberg;1335630;1335630;166855;559823;1119646;103403;401495;2368107;172517;-;-;-;2296948;4823383;442775
31.12.2007;Bayern;1904730;1904730;244361;601117;1202234;111983;377592;2693590;182261;-;-;-;2883439;5800554;538605
31.12.2007;Berlin;147885;147885;16384;21625;43250;3828;142386;1679547;111038;-;-;-;311896;1870682;131249
31.12.2007;Brandenburg;438035;438035;45828;81547;163094;12805;88711;651985;39056;-;-;-;608293;1253114;97690
31.12.2007;Bremen;79130;79130;8541;20685;41370;3329;33692;228835;14890;-;-;-;133507;349335;26761
31.12.2007;Hamburg;131628;131628;14380;26503;53004;4435;77493;687493;43967;-;-;-;235623;872124;62782
31.12.2007;Hessen;772559;772559;98532;325508;651016;60791;213779;1372913;96447;-;-;-;1311846;2796488;255771
31.12.2007;Mecklenburg-Vorpommern;252737;252737;26084;45865;91730;7027;68353;526206;30380;-;-;-;366955;870673;63491
31.12.2007;Niedersachsen;1444523;1444523;179867;375240;750480;69618;242748;1487748;101937;-;-;-;2062511;3682751;351422
31.12.2007;Nordrhein-Westfalen;2114872;2114872;257286;742012;1484024;129440;779391;4764247;322414;-;-;-;3636275;8363143;709140
31.12.2007;Rheinland-Pfalz;768961;768961;95757;228536;457072;42296;117801;664378;48039;-;-;-;1115298;1890411;186093
31.12.2007;Saarland;186993;186993;23393;81988;163976;14741;28786;152101;10863;-;-;-;297767;503070;48997
31.12.2007;Sachsen;413073;413073;41922;158569;317138;23151;210272;1552649;93943;-;-;-;781914;2282860;159017
31.12.2007;Sachsen-Anhalt;374632;374632;38766;87831;175662;13482;103006;727428;43261;-;-;-;565469;1277722;95510
31.12.2007;Schleswig-Holstein;555584;555584;62921;94512;189024;16452;85962;610417;38855;-;-;-;736058;1355025;118227
31.12.2007;Thüringen;313236;313236;33551;114468;228936;17625;87609;598715;36467;-;-;-;515313;1140887;87642
31.12.2007;Insgesamt;11234208;11234208;1354428;3565829;7131656;634407;3059076;20766359;1386335;-;-;-;17859112;39132222;3375171
31.12.2008;Baden-Württemberg;1344462;1344462;168334;561484;1122968;103858;403083;2379618;173590;-;-;-;2309029;4847048;445782
31.12.2008;Bayern;1918349;1918349;246553;603967;1207934;112682;379594;2707972;183441;-;-;-;2901910;5834255;542676
31.12.2008;Berlin;149500;149500;16616;21725;43450;3849;142485;1680925;111224;-;-;-;313710;1873875;131689
31.12.2008;Brandenburg;442461;442461;46403;81871;163742;12874;88510;647118;38801;-;-;-;612842;1253321;98078
31.12.2008;Bremen;79423;79423;8587;20710;41420;3337;33710;228903;14901;-;-;-;133843;349746;26824
31.12.2008;Hamburg;132779;132779;14547;26590;53180;4455;77732;689570;44155;-;-;-;237101;875529;63157
31.12.2008;Hessen;776289;776289;99134;326725;653450;61085;214568;1378334;96961;-;-;-;1317582;2808073;257180
31.12.2008;Mecklenburg-Vorpommern;254445;254445;26299;46018;92036;7057;68478;526359;30400;-;-;-;368941;872840;63756
31.12.2008;Niedersachsen;1451955;1451955;181022;376525;753050;69929;243357;1491726;102275;-;-;-;2071837;3696731;353226
31.12.2008;Nordrhein-Westfalen;2129075;2129075;259407;744178;1488356;129972;780941;4776625;323490;-;-;-;3654194;8394056;712869
31.12.2008;Rheinland-Pfalz;774170;774170;96622;229727;459454;42575;118275;666957;48286;-;-;-;1122172;1900581;187484
31.12.2008;Saarland;187612;187612;23495;82100;164200;14772;28856;152486;10901;-;-;-;298568;504298;49168
31.12.2008;Sachsen;415703;415703;42300;158877;317754;23228;209920;1547613;93726;-;-;-;784500;2281070;159255
31.12.2008;Sachsen-Anhalt;376132;376132;38986;87953;175906;13509;102676;723886;43067;-;-;-;566761;1275924;95562
31.12.2008;Schleswig-Holstein;559097;559097;63405;94833;189666;16520;86194;611714;38976;-;-;-;740124;1360477;118900
31.12.2008;Thüringen;314574;314574;33760;114671;229342;17672;87444;596147;36362;-;-;-;516689;1140063;87794
31.12.2008;Insgesamt;11306026;11306026;1365471;3577954;7155908;637373;3065823;20805953;1390556;-;-;-;17949803;39267887;3393400
31.12.2009;Baden-Württemberg;1352562;1352562;169692;562909;1125818;104247;404513;2389902;174571;-;-;-;2319984;4868282;448510
31.12.2009;Bayern;1929797;1929797;248432;606408;1212816;113288;381300;2720588;184560;-;-;-;2917505;5863201;546281
31.12.2009;Berlin;150752;150752;16802;21825;43650;3871;142628;1683054;111475;-;-;-;315205;1877456;132149
31.12.2009;Brandenburg;446295;446295;46914;82131;164262;12926;88412;644921;38694;-;-;-;616838;1255478;98534
31.12.2009;Bremen;79674;79674;8628;20723;41446;3340;33728;229055;14923;-;-;-;134125;350175;26890
31.12.2009;Hamburg;133688;133688;14680;26650;53300;4470;77928;691863;44375;-;-;-;238266;878851;63525
31.12.2009;Hessen;779047;779047;99583;327569;655138;61296;215163;1382952;97380;-;-;-;1321779;2817137;258259
31.12.2009;Mecklenburg-Vorpommern;256492;256492;26541;46302;92604;7107;68626;526270;30390;-;-;-;371420;875366;64037
31.12.2009;Niedersachsen;1459140;1459140;182136;377681;755362;70206;243929;1495335;102579;-;-;-;2080750;3709837;354921
31.12.2009;Nordrhein-Westfalen;2141515;2141515;261271;746103;1492206;130459;782281;4786967;324443;-;-;-;3669899;8420688;716173
31.12.2009;Rheinland-Pfalz;778849;778849;97385;230655;461310;42799;118669;669536;48525;-;-;-;1128173;1909695;188709
31.12.2009;Saarland;188153;188153;23588;82192;164384;14801;28914;152861;10935;-;-;-;299259;505398;49324
31.12.2009;Sachsen;417916;417916;42626;159069;318138;23279;209462;1542797;93501;-;-;-;786447;2278851;159406
31.12.2009;Sachsen-Anhalt;377400;377400;39171;88032;176064;13530;102339;720775;42896;-;-;-;567771;1274239;95596
31.12.2009;Schleswig-Holstein;562365;562365;63859;95172;190344;16591;86466;614034;39152;-;-;-;744003;1366743;119603
31.12.2009;Thüringen;315704;315704;33942;114876;229752;17721;87253;593615;36241;-;-;-;517833;1139071;87903
31.12.2009;Insgesamt;11369349;11369349;1375251;3588297;7176594;639930;3071611;20844525;1394638;-;-;-;18029257;39390468;3409819
31.12.2010;Baden-Württemberg;1406069;1406069;185406;494344;988688;95010;413079;2374580;178153;2976;63782;2880;2316468;4833119;461449
31.12.2010;Bayern;1940434;1940434;260368;541240;1082480;107891;405400;2722374;191665;2845;73803;2851;2889919;5819091;562774
31.12.2010;Berlin;157062;157062;18840;16765;33530;3199;136223;1628997;110168;578;19951;921;310628;1839540;133129
31.12.2010;Brandenburg;479284;479284;53726;64483;128966;11312;84933;626488;38688;298;7717;299;628998;1242455;104024
31.12.2010;Bremen;90589;90589;10807;13486;26972;2268;31641;215992;13797;117;3449;110;135833;337002;26983
31.12.2010;Hamburg;142374;142374;17190;19296;38592;3529;78543;694502;45528;437;9551;405;240650;885019;66652
31.12.2010;Hessen;833162;833162;111860;290083;580166;57837;223997;1360477;99314;3380;45887;2533;1350622;2819692;271545
31.12.2010;Mecklenburg-Vorpommern;276092;276092;31037;36685;73370;6374;62644;496202;29477;193;4348;171;375614;850012;67058
31.12.2010;Niedersachsen;1582674;1582674;207485;315937;631874;62896;239704;1420981;101133;2064;31500;1587;2140379;3667029;373102
31.12.2010;Nordrhein-Westfalen;2320101;2320101;300306;634738;1269476;119600;792198;4749112;332697;4106;78523;3891;3751143;8417212;756495
31.12.2010;Rheinland-Pfalz;828172;828172;109862;181426;362852;36236;128434;713289;52891;982;18625;799;1139014;1922938;199787
31.12.2010;Saarland;206203;206203;27111;63582;127164;12263;28719;149411;10976;109;2766;113;298613;485544;50463
31.12.2010;Sachsen;471697;471697;51249;130079;260158;21054;197441;1501818;94389;392;17434;614;799609;2251107;167307
31.12.2010;Sachsen-Anhalt;395136;395136;43177;70840;141680;12085;98283;709290;43901;331;8335;336;564590;1254441;99500
31.12.2010;Schleswig-Holstein;611889;611889;73490;76029;152058;14202;87863;589284;38574;604;8901;438;776385;1362132;126704
31.12.2010;Thüringen;338676;338676;37916;92203;184406;15611;84942;590155;37080;294;7130;341;516115;1120367;90949
31.12.2010;Insgesamt;12079614;12079614;1539831;3041216;6082432;581369;3094044;20542952;1418431;19706;401702;18291;18234580;39106700;3557922
31.12.2011;Baden-Württemberg;1415847;1415847;187023;495956;991912;95439;414557;2384954;179160;3009;64445;2908;2329369;4857158;464530
31.12.2011;Bayern;1954578;1954578;262643;543543;1087086;108488;407517;2738054;192978;2888;76702;2928;2908526;5856420;567037
31.12.2011;Berlin;158320;158320;19031;16828;33656;3214;136364;1631627;110431;578;19951;921;312090;1843554;133597
31.12.2011;Brandenburg;483068;483068;54232;64702;129404;11356;84955;625423;38653;298;7704;298;633023;1245599;104539
31.12.2011;Bremen;90834;90834;10847;13495;26990;2270;31668;216242;13820;117;3445;110;136114;337511;27047
31.12.2011;Hamburg;143198;143198;17310;19373;38746;3548;78742;696465;45713;436;9550;405;241749;887959;66976
31.12.2011;Hessen;836331;836331;112388;290594;581188;57981;224531;1364985;99707;3383;46214;2539;1354839;2828718;272615
31.12.2011;Mecklenburg-Vorpommern;278088;278088;31284;36885;73770;6410;62813;497295;29547;193;4350;171;377979;853503;67413
31.12.2011;Niedersachsen;1592235;1592235;208944;317223;634446;63198;240550;1426222;101580;2072;31506;1588;2152080;3684409;375310
31.12.2011;Nordrhein-Westfalen;2332897;2332897;302267;636540;1273080;120071;793750;4761400;333773;4127;78751;3895;3767314;8446128;760005
31.12.2011;Rheinland-Pfalz;832694;832694;110608;182233;364466;36427;128862;716127;53152;987;18632;799;1144776;1931919;200986
31.12.2011;Saarland;206724;206724;27203;63687;127374;12290;28797;149863;11015;112;2823;116;299320;486784;50624
31.12.2011;Sachsen;474119;474119;51609;130294;260588;21110;197271;1499672;94305;394;17487;615;802078;2251866;167638
31.12.2011;Sachsen-Anhalt;396414;396414;43366;70891;141782;12097;98077;706098;43749;330;8071;329;565712;1252365;99541
31.12.2011;Schleswig-Holstein;615642;615642;74005;76465;152930;14293;88163;591887;38768;609;9047;441;780879;1369506;127507
31.12.2011;Thüringen;339811;339811;38098;92332;184664;15647;84957;589870;37085;298;7276;346;517398;1121621;91176
31.12.2011;Insgesamt;12150800;12150800;1550855;3051041;6102082;583839;3101574;20596184;1423436;19830;405879;18407;18323246;39255020;3576539
31.12.2012;Baden-Württemberg;1426789;1426789;188821;497421;994842;95840;416564;2400621;180596;3032;66042;2966;2343806;4888294;468224
31.12.2012;Bayern;1969366;1969366;265051;545840;1091680;109083;409783;2754681;194376;2902;77903;2967;2927891;5893630;571477
31.12.2012;Berlin;160108;160108;19289;16899;33798;3233;136557;1634806;110754;578;19988;920;314142;1848700;134195
31.12.2012;Brandenburg;487763;487763;54858;65018;130036;11424;85017;625056;38670;305;7784;303;638103;1250639;105255
31.12.2012;Bremen;91575;91575;10963;13529;27058;2279;31746;217284;13914;122;4295;129;136972;340212;27285
31.12.2012;Hamburg;144119;144119;17447;19427;38854;3559;78952;698699;45927;436;9598;406;242934;891270;67339
31.12.2012;Hessen;839867;839867;112977;291100;582200;58127;225141;1370153;100169;3380;46559;2549;1359488;2838779;273822
31.12.2012;Mecklenburg-Vorpommern;280237;280237;31558;37117;74234;6451;63057;499345;29698;195;4360;171;380606;858176;67879
31.12.2012;Niedersachsen;1602506;1602506;210541;318624;637248;63523;241573;1432611;102150;2080;31582;1552;2164783;3703947;377767
31.12.2012;Nordrhein-Westfalen;2346705;2346705;304362;638389;1276778;120545;795492;4775855;335014;4139;78419;3899;3784725;8477757;763819
31.12.2012;Rheinland-Pfalz;837219;837219;111372;182956;365912;36606;129303;718939;53416;990;18718;801;1150468;1940788;202194
31.12.2012;Saarland;207430;207430;27310;63780;127560;12316;28856;150149;11044;112;2847;119;300178;487986;50789
31.12.2012;Sachsen;476682;476682;51997;130467;260934;21159;197172;1497673;94275;407;17978;628;804728;2253267;168059
31.12.2012;Sachsen-Anhalt;397827;397827;43579;70961;141922;12113;97902;704618;43668;333;7923;327;567023;1252290;99687
31.12.2012;Schleswig-Holstein;619638;619638;74552;76961;153922;14395;88540;594882;38999;612;9098;443;785751;1377540;128389
31.12.2012;Thüringen;341261;341261;38336;92510;185020;15694;84977;589768;37110;299;7298;347;519047;1123347;91489
31.12.2012;Insgesamt;12229092;12229092;1563013;3060999;6121998;586348;3110632;20665140;1429779;19922;410392;18528;18420645;39426622;3597668
31.12.2013;Baden-Württemberg;1437016;1437016;190526;499089;998178;96288;418375;2413742;181848;3054;67470;3005;2357534;4916406;471668
31.12.2013;Bayern;1984912;1984912;267630;548547;1097094;109780;412488;2775339;196033;2843;79069;3003;2948790;5936414;576447
31.12.2013;Berlin;161729;161729;19525;16976;33952;3253;136762;1638870;111151;580;20044;920;316047;1854595;134850
31.12.2013;Brandenburg;492172;492172;55459;65304;130608;11483;85159;625214;38724;312;8003;313;642947;1255997;105980
31.12.2013;Bremen;91912;91912;11015;13537;27074;2280;31795;217825;13966;124;4376;135;137368;341187;27398
31.12.2013;Hamburg;145425;145425;17641;19542;39084;3584;79358;703226;46337;438;9571;406;244763;897306;67968
31.12.2013;Hessen;843593;843593;113588;291579;583158;58265;225836;1377038;100753;3383;46740;2553;1364391;2850529;275159
31.12.2013;Mecklenburg-Vorpommern;282294;282294;31823;37334;74668;6492;63257;500534;29794;196;4370;172;383081;861866;68280
31.12.2013;Niedersachsen;1613115;1613115;212172;320192;640384;63889;242774;1440549;102810;2100;32220;1578;2178181;3726268;380448
31.12.2013;Nordrhein-Westfalen;2361234;2361234;306545;640184;1280368;121015;797494;4791312;336394;4155;80074;3961;3803067;8512988;767915
31.12.2013;Rheinland-Pfalz;841976;841976;112190;183736;367472;36803;129795;723570;53763;995;18972;807;1156502;1951990;203563
31.12.2013;Saarland;208393;208393;27440;63888;127776;12343;28930;150583;11080;119;3038;124;301330;489790;50987
31.12.2013;Sachsen;479583;479583;52434;130670;261340;21215;197188;1496834;94326;411;18225;637;807852;2255982;168612
31.12.2013;Sachsen-Anhalt;399246;399246;43795;71006;142012;12125;97514;700674;43472;335;8096;330;568101;1250028;99723
31.12.2013;Schleswig-Holstein;623675;623675;75088;77398;154796;14481;88953;597780;39222;612;9098;443;790638;1385349;129234
31.12.2013;Thüringen;342710;342710;38567;92641;185282;15732;85018;590173;37161;302;7328;349;520671;1125493;91808
31.12.2013;Insgesamt;12308985;12308985;1575439;3071623;6143246;589028;3120696;20743263;1436835;19959;416694;18736;18521263;39612188;3620039
31.12.2014;Baden-Württemberg;1447352;1447352;192269;501042;1002084;96797;420658;2430672;183427;3078;68399;3038;2372130;4948507;475530
31.12.2014;Bayern;2001051;2001051;270297;551344;1102688;110491;415592;2799829;198048;2891;81741;3083;2970878;5985309;581919
31.12.2014;Berlin;163457;163457;19786;17035;34070;3269;137126;1644841;111747;586;20616;936;318204;1862984;135737
31.12.2014;Brandenburg;497179;497179;56135;65583;131166;11544;85397;626625;38858;322;8186;318;648481;1263156;106855
31.12.2014;Bremen;92264;92264;11067;13554;27108;2285;31837;218516;14028;129;4546;142;137784;342434;27522
31.12.2014;Hamburg;146279;146279;17772;19631;39262;3605;79740;708756;46776;440;9590;407;246090;903887;68559
31.12.2014;Hessen;847919;847919;114286;292138;584276;58421;226748;1385674;101480;3404;48083;2591;1370209;2865952;276778
31.12.2014;Mecklenburg-Vorpommern;284201;284201;32069;37533;75066;6531;63465;502267;29933;197;4396;172;385396;865930;68704
31.12.2014;Niedersachsen;1624441;1624441;213905;321821;643642;64265;244162;1450010;103604;2114;33152;1601;2192538;3751245;383376
31.12.2014;Nordrhein-Westfalen;2374342;2374342;308611;642142;1284284;121522;800062;4813130;338301;4195;81940;4028;3820741;8553696;772462
31.12.2014;Rheinland-Pfalz;847173;847173;113086;184564;369128;37004;130462;728794;54209;999;19115;811;1163198;1964210;205110
31.12.2014;Saarland;209054;209054;27555;64001;128002;12373;29016;151186;11131;121;3110;126;302192;491352;51185
31.12.2014;Sachsen;482758;482758;52915;130946;261892;21286;197342;1497605;94524;421;18695;651;811467;2260950;169376
31.12.2014;Sachsen-Anhalt;400695;400695;44023;71063;142126;12140;97434;699542;43430;338;8123;332;569530;1250486;99925
31.12.2014;Schleswig-Holstein;628593;628593;75735;77995;155990;14600;89462;601442;39503;618;9251;448;796668;1395276;130287
31.12.2014;Thüringen;344249;344249;38815;92805;185610;15773;85175;591436;37273;303;7364;350;522532;1128659;92211
31.12.2014;Insgesamt;12391007;12391007;1588325;3083197;6166394;591907;3133678;20850325;1446271;20156;426307;19034;18628038;39834033;3645537
31.12.2015;Baden-Württemberg;1457680;1457680;194005;502951;1005902;97293;423113;2449726;185125;3122;69543;3073;2386866;4982851;479495
31.12.2015;Bayern;2017735;2017735;273091;554044;1108088;111203;418997;2824815;200121;2953;84030;3169;2993729;6034668;587583
31.12.2015;Berlin;164957;164957;20015;17140;34280;3295;137609;1653120;112490;596;21325;952;320302;1873682;136752
31.12.2015;Brandenburg;502092;502092;56813;65893;131786;11609;85666;627503;38966;338;8702;334;653989;1270083;107722
31.12.2015;Bremen;92740;92740;11141;13575;27150;2291;31908;219561;14120;131;4623;144;138354;344074;27696
31.12.2015;Hamburg;147347;147347;17933;19766;39532;3635;80262;714761;47258;439;9427;404;247814;911067;69230
31.12.2015;Hessen;851652;851652;114914;292692;585384;58582;227648;1394294;102209;3437;50028;2633;1375429;2881358;278339
31.12.2015;Mecklenburg-Vorpommern;286246;286246;32339;37695;75390;6562;63693;503998;30066;198;4421;173;387832;870055;69139
31.12.2015;Niedersachsen;1635258;1635258;215572;323372;646744;64632;245668;1460765;104513;2124;33567;1618;2206422;3776334;386335
31.12.2015;Nordrhein-Westfalen;2386351;2386351;310494;643959;1287918;121990;802342;4832252;339989;4219;82704;4050;3836871;8589225;776524
31.12.2015;Rheinland-Pfalz;851604;851604;113851;185267;370534;37177;131078;733347;54617;1016;19729;829;1168965;1975214;206474
31.12.2015;Saarland;209636;209636;27658;64090;128180;12398;29105;151880;11183;126;3289;135;302957;492985;51373
31.12.2015;Sachsen;485629;485629;53342;131151;262302;21341;197506;1499429;94784;428;18943;659;814714;2266303;170126
31.12.2015;Sachsen-Anhalt;402283;402283;44272;71152;142304;12164;97377;698527;43404;339;7886;327;571151;1251000;100167
31.12.2015;Schleswig-Holstein;632915;632915;76326;78552;157105;14716;90013;605778;39832;621;9276;450;802101;1405074;131324
31.12.2015;Thüringen;345830;345830;39071;92970;185940;15814;85305;592107;37351;312;7586;358;524417;1131463;92593
31.12.2015;Insgesamt;12469955;12469955;1600835;3094269;6188539;594702;3147290;20961863;1456026;20399;435081;19308;18731913;40055436;3670870
31.12.2016;Baden-Württemberg;1467443;1467443;195646;504700;1009400;97764;425364;2466849;186674;3321;74703;3209;2400828;5018395;483292
31.12.2016;Bayern;2033224;2033224;275670;556528;1113056;111841;422296;2850576;202223;3159;88839;3390;3015207;6085695;593123
31.12.2016;Berlin;166611;166611;20266;17205;34410;3314;138217;1663398;113321;611;22812;997;322644;1887231;137898
31.12.2016;Brandenburg;507634;507634;57570;66255;132510;11687;85918;629193;39130;371;10268;380;660178;1279605;108767
31.12.2016;Bremen;93172;93172;11205;13587;27174;2293;31993;220763;14215;134;4690;152;138886;345799;27865
31.12.2016;Hamburg;148155;148155;18056;19869;39738;3659;80734;721066;47737;440;9431;405;249198;918390;69857
31.12.2016;Hessen;855729;855729;115631;293344;586688;58770;228784;1405037;103121;3491;51771;2698;1381348;2899225;280219
31.12.2016;Mecklenburg-Vorpommern;288309;288309;32615;37868;75736;6596;63913;506135;30242;203;4962;184;390293;875142;69637
31.12.2016;Niedersachsen;1647412;1647412;217452;325165;650330;65048;247385;1473017;105550;2158;34548;1651;2222120;3805307;389701
31.12.2016;Nordrhein-Westfalen;2397704;2397704;312330;645778;1291556;122464;804885;4854582;341867;4367;85986;4174;3852734;8629828;780835
31.12.2016;Rheinland-Pfalz;856287;856287;114644;186058;372116;37371;131801;739082;55109;1035;20097;845;1175181;1987582;207969
31.12.2016;Saarland;210304;210304;27774;64189;128378;12424;29220;152768;11254;128;3290;138;303841;494740;51590
31.12.2016;Sachsen;489352;489352;53901;131431;262862;21418;197762;1502180;95132;447;19671;686;818992;2274065;171137
31.12.2016;Sachsen-Anhalt;404156;404156;44558;71211;142422;12180;97199;696260;43316;348;8068;337;572914;1250906;100391
31.12.2016;Schleswig-Holstein;638490;638490;77065;79209;158418;14852;90714;612006;40273;653;9576;465;809066;1418490;132654
31.12.2016;Thüringen;347442;347442;39335;93134;186268;15858;85471;593296;37466;360;9114;414;526407;1136120;93073
31.12.2016;Insgesamt;12551424;12551424;1613716;3105531;6211062;597540;3161656;21086208;1466627;21226;457826;20125;18839837;40306520;3698008
31.12.2017;Baden-Württemberg;1476628;1476628;197213;506604;1013208;98266;427792;2485786;188356;3422;77344;3302;2414446;5052966;487137
31.12.2017;Bayern;2051240;2051240;278686;559614;1119228;112624;426067;2878924;204499;3313;93852;3585;3040234;6143244;599394
31.12.2017;Berlin;167884;167884;20463;17262;34524;3329;138900;1674607;114190;635;25848;1077;324681;1902863;139060
31.12.2017;Brandenburg;512637;512637;58255;66597;133194;11758;86280;632572;39414;385;10693;391;665899;1289096;109818
31.12.2017;Bremen;93726;93726;11292;13614;27228;2300;32064;221621;14283;140;5020;167;139544;347595;28042
31.12.2017;Hamburg;149259;149259;18220;19985;39970;3685;81182;726853;48183;446;9840;418;250872;925922;70505
31.12.2017;Hessen;860056;860056;116375;294004;588008;58957;230100;1417896;104219;3544;53114;2767;1387704;2919074;282318
31.12.2017;Mecklenburg-Vorpommern;290291;290291;32882;38012;76024;6624;64165;507697;30402;208;5155;196;392676;879167;70104
31.12.2017;Niedersachsen;1658407;1658407;219151;326777;653554;65421;248978;1485171;106527;2271;36412;1732;2236433;3833544;392831
31.12.2017;Nordrhein-Westfalen;2408711;2408711;314118;647758;1295516;122977;807772;4879758;343992;4471;88845;4279;3868712;8672830;785365
31.12.2017;Rheinland-Pfalz;860726;860726;115402;186812;373624;37559;132562;744631;55588;1057;20643;866;1181157;1999624;209415
31.12.2017;Saarland;210938;210938;27883;64304;128608;12453;29348;153804;11345;127;3275;138;304717;496625;51819
31.12.2017;Sachsen;492483;492483;54368;131659;263318;21477;197969;1505575;95497;475;20372;711;822586;2281748;172052
31.12.2017;Sachsen-Anhalt;405923;405923;44834;71270;142540;12195;97235;696168;43352;352;8152;342;574780;1252783;100722
31.12.2017;Schleswig-Holstein;643272;643272;77723;79855;159710;14979;91420;617391;40676;675;9678;476;815222;1430051;133853
31.12.2017;Thüringen;349041;349041;39592;93281;186562;15897;85625;593857;37543;371;9753;435;528318;1139213;93467
31.12.2017;Insgesamt;12631222;12631222;1626456;3117408;6234816;600500;3177459;21222311;1478065;21892;477996;20881;18947981;40566345;3725902
__________;;;;;;;;;;;;;;;;
"Wohngebäude: Bis 31.12.2009 ohne Wohnheime.

Ab 31.12.2010:
Ergebnisse auf Grundlage der Gebäude- und Wohnungszählung
2011.";;;;;;;;;;;;;;;;
(C)opyright Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;;
Stand: 13.11.2018 / 12:56:28;;;;;;;;;;;;;;;;
